prickles	prickle
pawpaws	pawpaw
simulating	simulate
drams	dram
tetracyclines	tetracycline
rangelands	rangeland
non-returns	non-return
spooked	spook
walk-ups	walk-up
friendships	friendship
doughtier	doughty
mentions	mention
sequenced	sequence
embodying	embody
cryptos	crypto
mantras	mantra
inherits	inherit
reefed	reef
de-emphasized	de-emphasize
acronyms	acronym
rattier	ratty
reprints	reprint
betrothals	betrothal
rights-of-way	right-of-way
broodiest	broody
screwiest	screwy
amending	amend
urbanising	urbanise
suspects	suspect
slayers	slayer
auscultations	auscultation
vacuities	vacuity
carbides	carbide
posited	posit
avalanching	avalanche
reverberates	reverberate
funds	fund
audits	audit
misdeals	misdeal
furnaces	furnace
certifying	certify
percepts	percept
marinaded	marinade
legislatures	legislature
dragging	drag
cockfights	cockfight
single-deckers	single-decker
couplers	coupler
stupefies	stupefy
ganging	gang
resps	resp
hydrocephali	hydrocephalus
commonrooms	commonroom
atomized	atomize
leopards	leopard
parties	party
thinning	thin
recommitting	recommit
telemetries	telemetry
elves	elf
laddered	ladder
malignities	malignity
waggles	waggle
lyres	lyre
cords	cord
comrades	comrade
apples	apple
chocolates	chocolate
encroached	encroach
oversimplified	oversimplify
thresholds	threshold
taps	tap
bashes	bash
derelictions	dereliction
perfumes	perfume
caddying	caddie
getaways	getaway
marketings	marketing
cut-offs	cut-off
subplots	subplot
savors	savor
feeds	feed
fustiest	fusty
sanatoria	sanatorium
allegiances	allegiance
tablecloths	tablecloth
eliminates	eliminate
darkens	darken
ornamented	ornament
eighties	eighty
junipers	juniper
hoovers	hoover
bloodthirstiest	bloodthirsty
fores	fore
trifles	trifle
nattered	natter
whizzes	whiz
freeze-frames	freeze-frame
sensitises	sensitise
cruised	cruise
leverets	leveret
absorbed	absorb
metres	metre
regionalisations	regionalisation
embrocations	embrocation
gestured	gesture
timetables	timetable
earthworms	earthworm
petitioning	petition
cervices	cervix
relocates	relocate
mentoring	mentor
reapers	reaper
dedicated	dedicate
cavas	cava
feted	fete
disbelieving	disbelieve
apposing	appose
variations	variation
subscriptions	subscription
quaking	quake
recomposed	recompose
